Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-03-08,PRO,38633.979777,71796528
2020-03-08,RES,166206.199541,545888156
2020-03-09,PRO,47125.556713,71792880
2020-03-09,RES,156139.30363,545953632
2020-03-10,PRO,48610.54157,71792016
2020-03-10,RES,150645.125192,545975264
2020-03-11,PRO,43861.234114,71791008
2020-03-11,RES,136674.316587,546002876
2020-03-12,PRO,44316.487218,71792208
2020-03-12,RES,134491.163091,546042144
2020-03-13,PRO,44844.914626,71790384
2020-03-13,RES,141602.986859,546106556
2020-03-14,PRO,39969.577991,71788368
2020-03-14,RES,151297.628088,546092264
2020-03-15,PRO,34104.136173,71785680
2020-03-15,RES,147874.266564,546083132
2020-03-16,PRO,38030.706614,71790000
2020-03-16,RES,143706.846328,546124800
2020-03-17,PRO,34910.652884,71785296
2020-03-17,RES,140979.260592,546110204
2020-03-18,PRO,32036.13171,71777088
2020-03-18,RES,134389.134346,546093734
2020-03-19,PRO,30981.689135,71779584
2020-03-19,RES,127912.670796,546068736
2020-03-20,PRO,30521.858346,71777664
2020-03-20,RES,127533.747536,546055100
2020-03-21,PRO,30463.934973,71775744
2020-03-21,RES,141864.367191,546017276
2020-03-22,PRO,30137.676972,71774688
2020-03-22,RES,150185.342147,545997788
2020-03-23,PRO,32608.377375,71777568
2020-03-23,RES,147686.174147,546006048
2020-03-24,PRO,33366.205347,71763216
2020-03-24,RES,149770.799325,545969660
2020-03-25,PRO,33626.855041,71783184
2020-03-25,RES,154471.056145,545934428
2020-03-26,PRO,34294.659563,71786640
2020-03-26,RES,159307.740754,545909952
2020-03-27,PRO,33653.722532,71787024
2020-03-27,RES,156180.129016,545896124
2020-03-28,PRO,31029.17282,71786736
2020-03-28,RES,149346.289497,545863772
2020-03-29,PRO,29923.244136,68795162
2020-03-29,RES,154844.921922,523108136
2020-03-30,PRO,35960.672699,71786352
2020-03-30,RES,173151.332675,545845430
2020-03-31,PRO,35446.278159,71784720
2020-03-31,RES,164013.184509,545795036
2020-04-01,PRO,34548.235273,71785824
2020-04-01,RES,154829.135262,545737724
2020-04-02,PRO,34299.444072,71784864
2020-04-02,RES,152371.566943,545700288
2020-04-03,PRO,33223.820706,71781696
2020-04-03,RES,144928.975777,545679894
2020-04-04,PRO,30076.659571,71779584
2020-04-04,RES,135003.338774,545649404
2020-04-05,PRO,27415.867888,71778720
2020-04-05,RES,123434.716877,545639728
2020-04-06,PRO,28991.901596,71781216
2020-04-06,RES,115997.072834,545639904
2020-04-07,PRO,29130.756445,71779104
2020-04-07,RES,111703.80843800001,545582268
2020-04-08,PRO,28057.352928,71777280
2020-04-08,RES,105682.318521,545580474
2020-04-09,PRO,27551.481575,71776464
2020-04-09,RES,100836.846203,545563584
2020-04-10,PRO,27013.369604,71773968
2020-04-10,RES,97965.682387,545546680
2020-04-11,PRO,25350.729279,71771952
2020-04-11,RES,99392.381992,545522012
2020-04-12,PRO,24131.182132,71771472
2020-04-12,RES,100751.887863,545513672
2020-04-13,PRO,24629.654602,71771280
2020-04-13,RES,101942.678823,545517800
2020-04-14,PRO,28675.206571,71773200
2020-04-14,RES,105951.012255,545513564
2020-04-15,PRO,28626.633536,71771664
2020-04-15,RES,106520.362027,545482172
2020-04-16,PRO,27438.755789,71768304
2020-04-16,RES,99788.607267,545448384
2020-04-17,PRO,26831.292405,71769648
2020-04-17,RES,96903.811121,545435612
2020-04-18,PRO,25328.545882,71766576
2020-04-18,RES,100912.967137,545406044
2020-04-19,PRO,24406.894148,71766096
2020-04-19,RES,104851.666181,545399240
2020-04-20,PRO,27040.932644,71766864
2020-04-20,RES,102663.170593,545404796
2020-04-21,PRO,27845.562818,71769408
2020-04-21,RES,102104.081431,545381564
2020-04-22,PRO,27525.87175,71772864
2020-04-22,RES,101083.461856,545339796
2020-04-23,PRO,27228.878193,71771616
2020-04-23,RES,97956.41873,545353248
2020-04-24,PRO,26735.120772,71770848
2020-04-24,RES,96729.485146,545341820
2020-04-25,PRO,24958.229531,71769648
2020-04-25,RES,98618.417974,545319548
2020-04-26,PRO,23949.74153,71768400
2020-04-26,RES,100225.007683,545314472
2020-04-27,PRO,26487.477291,71773440
2020-04-27,RES,97264.17031,545319068
2020-04-28,PRO,27572.010355,71775936
2020-04-28,RES,98571.132555,545289404
2020-04-29,PRO,28076.338253,71773344
2020-04-29,RES,102320.343073,545273180
2020-04-30,PRO,28948.426237,71779008
2020-04-30,RES,106447.109323,545258880
2020-05-01,PRO,26075.45437,71778288
2020-05-01,RES,111770.902927,545213864
2020-05-02,PRO,26603.202039,71775600
2020-05-02,RES,109191.201701,545207228
2020-05-03,PRO,24996.285743,71775024
2020-05-03,RES,107602.080986,545204236
2020-05-04,PRO,27135.432481,71776848
2020-05-04,RES,98413.557373,545212850
2020-05-05,PRO,28209.490072,71781936
2020-05-05,RES,97691.49121,545182268
2020-05-06,PRO,27739.473124,71784528
2020-05-06,RES,95862.363564,545161532
2020-05-07,PRO,27538.642014,71781552
2020-05-07,RES,93647.851884,545154336
2020-05-08,PRO,24354.851853,71777808
2020-05-08,RES,94913.248442,545140904
2020-05-09,PRO,24904.046413,71776752
2020-05-09,RES,94324.609819,545138588
2020-05-10,PRO,23673.500427,71775984
2020-05-10,RES,97823.128392,545138734
2020-05-11,PRO,30721.664729,71782128
2020-05-11,RES,99815.977884,545168352
2020-05-12,PRO,32741.198406,71788560
2020-05-12,RES,104801.097719,545169000
2020-05-13,PRO,32722.132562,71793456
2020-05-13,RES,108072.799829,545181372
2020-05-14,PRO,33234.469352,71793360
2020-05-14,RES,108201.409972,545188320
2020-05-15,PRO,32525.433628,71791152
