Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-03-08,PRO,30132.704743,60786768
2020-03-08,RES,136029.217555,391694304
2020-03-09,PRO,35629.907283,60792192
2020-03-09,RES,126980.046505,391749984
2020-03-10,PRO,36899.446248,60790560
2020-03-10,RES,123503.749643,391753152
2020-03-11,PRO,33468.287795000004,60796608
2020-03-11,RES,110989.09302,391771680
2020-03-12,PRO,33783.007203,60796800
2020-03-12,RES,109317.465103,391796736
2020-03-13,PRO,34230.048249,60796608
2020-03-13,RES,115489.499588,391842720
2020-03-14,PRO,30900.928921,60790800
2020-03-14,RES,123079.582298,391826592
2020-03-15,PRO,26684.204809,60789648
2020-03-15,RES,119827.60148,391814688
2020-03-16,PRO,29255.574665,60794928
2020-03-16,RES,116093.625948,391857312
2020-03-17,PRO,27117.408448,60800688
2020-03-17,RES,113362.68065,391844928
2020-03-18,PRO,25103.567578,60796848
2020-03-18,RES,107877.509965,391836000
2020-03-19,PRO,24330.659079,60795312
2020-03-19,RES,102131.373776,391814496
2020-03-20,PRO,24004.037708,60794928
2020-03-20,RES,101610.516784,391803072
2020-03-21,PRO,24021.436539,60794064
2020-03-21,RES,113815.711252,391763520
2020-03-22,PRO,23797.020817,60793104
2020-03-22,RES,121291.071439,391747200
2020-03-23,PRO,25548.005755,60795216
2020-03-23,RES,119899.028883,391766976
2020-03-24,PRO,26216.73266,60798480
2020-03-24,RES,121816.588949,391741248
2020-03-25,PRO,26453.804695,60793680
2020-03-25,RES,126359.64426,391715328
2020-03-26,PRO,26905.194999,60792048
2020-03-26,RES,130237.454366,391694208
2020-03-27,PRO,26428.662881,60788400
2020-03-27,RES,127593.79242700001,391676832
2020-03-28,PRO,24511.771714,60784080
2020-03-28,RES,121343.878033,391642272
2020-03-29,PRO,23570.789048,58250444
2020-03-29,RES,125964.3736,375314364
2020-03-30,PRO,28024.066797,60784512
2020-03-30,RES,142332.603795,391643132
2020-03-31,PRO,27696.283606,60777024
2020-03-31,RES,134417.983333,391605792
2020-04-01,PRO,26648.699611,60760992
2020-04-01,RES,126950.931501,391566720
2020-04-02,PRO,26458.84128,60756096
2020-04-02,RES,124932.321581,391536192
2020-04-03,PRO,25632.978394,60755232
2020-04-03,RES,118683.005912,391523568
2020-04-04,PRO,23292.728075,60751584
2020-04-04,RES,110104.645706,391494672
2020-04-05,PRO,21269.402036,60751200
2020-04-05,RES,99543.781322,391488824
2020-04-06,PRO,22224.122567,60752064
2020-04-06,RES,93260.254126,391503216
2020-04-07,PRO,22344.181903,60749664
2020-04-07,RES,89456.089606,391458386
2020-04-08,PRO,21560.533194,60749184
2020-04-08,RES,84249.538251,391452048
2020-04-09,PRO,21190.157828,60748464
2020-04-09,RES,80117.539498,391434668
2020-04-10,PRO,20812.97088,60747072
2020-04-10,RES,77652.241172,391425168
2020-04-11,PRO,19639.904666,60743904
2020-04-11,RES,78793.350348,391398480
2020-04-12,PRO,18735.355143,60743520
2020-04-12,RES,79948.407671,391391192
2020-04-13,PRO,18992.062453,60743712
2020-04-13,RES,81149.747899,391395608
2020-04-14,PRO,21969.865159,60743280
2020-04-14,RES,85668.24715,391407504
2020-04-15,PRO,21971.648792,60742992
2020-04-15,RES,86546.110314,391383408
2020-04-16,PRO,21132.864127,60740208
2020-04-16,RES,80487.34552,391364880
2020-04-17,PRO,20695.990901,60740544
2020-04-17,RES,77797.726545,391345296
2020-04-18,PRO,19635.705991,60736224
2020-04-18,RES,81219.545059,391316880
2020-04-19,PRO,18948.551754,60735456
2020-04-19,RES,84499.915875,391307192
2020-04-20,PRO,20719.896891,60738336
2020-04-20,RES,83348.259226,391324560
2020-04-21,PRO,21366.398244,60738528
2020-04-21,RES,82905.859233,391298640
2020-04-22,PRO,21154.452941,60737712
2020-04-22,RES,82253.260024,391266672
2020-04-23,PRO,20947.475698,60737040
2020-04-23,RES,79571.766666,391268400
2020-04-24,PRO,20632.361416,60738000
2020-04-24,RES,78352.586105,391259856
2020-04-25,PRO,19381.647321,60737232
2020-04-25,RES,79958.660592,391229712
2020-04-26,PRO,18629.979853,60736752
