Date,Catégorie profil,Total énergie soutirée (MWh),Nb points soutirage
2020-03-05,RES,1065222.346551,3081486076
2020-03-06,PRO,289076.475447,427586352
2020-03-06,RES,1115894.697332,3081891042
2020-03-07,PRO,256562.288748,427554720
2020-03-07,RES,1139834.172481,3081690486
2020-03-08,PRO,224211.070171,427535520
2020-03-08,RES,1104843.527541,3081589312
2020-03-09,PRO,264431.491864,427569648
2020-03-09,RES,1038365.093566,3082010674
2020-03-10,PRO,273855.557576,427567152
2020-03-10,RES,1004269.86403,3082120998
2020-03-11,PRO,248504.77104,427579680
2020-03-11,RES,899574.793603,3082271212
2020-03-12,PRO,250894.71273,427590192
2020-03-12,RES,886590.545002,3082485204
2020-03-13,PRO,254068.370386,427595808
2020-03-13,RES,937662.690973,3082845854
2020-03-14,PRO,229807.630172,427564992
2020-03-14,RES,998163.917339,3082741806
2020-03-15,PRO,198570.837573,427550832
2020-03-15,RES,971157.856208,3082634464
2020-03-16,PRO,217329.735279,427576800
2020-03-16,RES,941973.917961,3082965106
2020-03-17,PRO,201582.964696,427569072
2020-03-17,RES,919528.724472,3082910470
2020-03-18,PRO,186931.881238,427543632
2020-03-18,RES,872271.664712,3082827094
2020-03-19,PRO,181228.4533,427540704
2020-03-19,RES,825538.94078,3082701588
2020-03-20,PRO,178871.345769,427552512
2020-03-20,RES,821565.705021,3082676798
2020-03-21,PRO,178998.273012,427533456
2020-03-21,RES,921872.846336,3082409062
2020-03-22,PRO,177292.380782,427527408
2020-03-22,RES,983472.769613,3082303944
2020-03-23,PRO,190279.131096,427545024
2020-03-23,RES,972004.158796,3082443062
2020-03-24,PRO,195354.553366,427531152
2020-03-24,RES,987737.196749,3082271016
2020-03-25,PRO,197150.533586,427545408
2020-03-25,RES,1023805.147899,3082110896
2020-03-26,PRO,200289.255951,427545024
2020-03-26,RES,1056804.370232,3081969492
2020-03-27,PRO,196694.133539,427540800
2020-03-27,RES,1034464.583126,3081864068
2020-03-28,PRO,182669.700382,427525104
2020-03-28,RES,982193.324267,3081645482
2020-03-29,PRO,175806.478339,409704888
2020-03-29,RES,1022439.739485,2953174028
2020-03-30,PRO,208592.027884,427522032
2020-03-30,RES,1157322.740724,3081632080
2020-03-31,PRO,206134.090779,427502112
2020-03-31,RES,1091819.387214,3081350042
2020-04-01,PRO,199421.929608,427432416
2020-04-01,RES,1034455.906477,3081038624
2020-04-02,PRO,198045.558547,427403712
2020-04-02,RES,1018292.690687,3080762820
2020-04-03,PRO,191894.417436,427383552
2020-04-03,RES,964739.273777,3080656060
2020-04-04,PRO,174301.304168,427356048
2020-04-04,RES,891325.613846,3080472938
2020-04-05,PRO,159094.956641,427350192
2020-04-05,RES,804203.381012,3080410426
2020-04-06,PRO,166177.943263,427357104
2020-04-06,RES,751866.028801,3080488310
2020-04-07,PRO,167002.3468,427334016
2020-04-07,RES,721168.150239,3080147526
2020-04-08,PRO,161087.733004,427314048
2020-04-08,RES,677558.613341,3080152206
2020-04-09,PRO,158239.956732,427300224
2020-04-09,RES,643163.56781,3080045786
2020-04-10,PRO,155425.569291,427291056
2020-04-10,RES,622316.702376,3079967630
2020-04-11,PRO,146642.832698,427274400
2020-04-11,RES,630323.357047,3079790714
2020-04-12,PRO,139818.495185,427270464
2020-04-12,RES,639498.714391,3079742674
2020-04-13,PRO,141650.430203,427270560
2020-04-13,RES,649378.77511,3079770130
2020-04-14,PRO,163848.277643,427273968
2020-04-14,RES,685293.482732,3079821626
2020-04-15,PRO,163848.750423,427270752
2020-04-15,RES,691680.042355,3079651424
2020-04-16,PRO,157594.132556,427261200
2020-04-16,RES,642415.370706,3079477092
2020-04-17,PRO,154284.365518,427260576
2020-04-17,RES,619467.978576,3079355538
2020-04-18,PRO,146392.473235,427240608
2020-04-18,RES,646766.470986,3079150778
2020-04-19,PRO,141196.326419,427231104
2020-04-19,RES,672927.0945829999,3079094862
2020-04-20,PRO,154197.047936,427245216
2020-04-20,RES,663684.517478,3079203970
2020-04-21,PRO,159029.616048,427246752
2020-04-21,RES,660007.384662,3079035382
2020-04-22,PRO,157466.301919,427242336
2020-04-22,RES,654042.393121,3078755980
2020-04-23,PRO,155952.287788,427237536
2020-04-23,RES,632177.804096,3078802604
2020-04-24,PRO,153620.183649,427239744
2020-04-24,RES,621204.002518,3078738354
2020-04-25,PRO,144352.351002,427224192
2020-04-25,RES,632889.341142,3078552122
2020-04-26,PRO,138678.501507,427217952
2020-04-26,RES,644701.907025,3078510706
2020-04-27,PRO,151062.227927,427238496
2020-04-27,RES,626535.20019,3078614722
2020-04-28,PRO,157333.840485,427258608
2020-04-28,RES,634833.224467,3078447868
2020-04-29,PRO,160275.451811,427258704
2020-04-29,RES,663628.111696,3078334592
2020-04-30,PRO,165341.099348,427272048
2020-04-30,RES,694992.210003,3078253960
2020-05-01,PRO,150689.062198,427263312
2020-05-01,RES,730301.696326,3077838610
2020-05-02,PRO,153498.162463,427250016
2020-05-02,RES,713438.329155,3077770490
2020-05-03,PRO,144457.086848,427248096
2020-05-03,RES,697805.578909,3077731154
2020-05-04,PRO,154492.661777,427269744
2020-05-04,RES,634738.963804,3077877368
2020-05-05,PRO,160502.526165,427280064
2020-05-05,RES,627743.419517,3077660666
2020-05-06,PRO,158140.432606,427293792
2020-05-06,RES,616147.53391,3077496872
2020-05-07,PRO,157316.20639,427294800
2020-05-07,RES,600268.650371,3077441224
2020-05-08,PRO,140785.283384,427275744
2020-05-08,RES,606341.314016,3077313096
2020-05-09,PRO,143812.120095,427266334
2020-05-09,RES,600897.676123,3077304122
2020-05-10,PRO,136964.077828,427262592
2020-05-10,RES,622450.819397,3077306126
2020-05-11,PRO,172241.698317,427294656
2020-05-11,RES,644619.834191,3077634950
2020-05-12,PRO,184639.937187,427309104
2020-05-12,RES,687328.040446,3077698374
2020-05-13,PRO,184878.117005,427318272
2020-05-13,RES,710327.460224,3077780064
2020-05-14,PRO,187868.521784,427318656
2020-05-14,RES,712923.379907,3077881960
2020-05-15,PRO,184508.03634,427304160
2020-05-15,RES,691605.032239,3078094194
2020-05-16,PRO,162955.005518,427263022
2020-05-16,RES,675027.215323,3077797648
2020-05-17,PRO,143784.773859,427247856
2020-05-17,RES,654675.115294,3077566724
2020-05-18,PRO,163056.255848,427278144
2020-05-18,RES,607222.94949,3077957998
2020-05-19,PRO,169242.678818,427297776
2020-05-19,RES,579594.726105,3077729348
2020-05-20,PRO,167339.652154,427300272
2020-05-20,RES,568074.459165,3077703488
2020-05-21,PRO,143493.194789,427259280
2020-05-21,RES,570366.927873,3077344536
2020-05-22,PRO,161516.898333,427258606
2020-05-22,RES,564030.602526,3077603162
2020-05-23,PRO,152146.468155,427232494
2020-05-23,RES,580771.390479,3077266490
2020-05-24,PRO,136275.033509,427220400
2020-05-24,RES,590888.534212,3077020576
2020-05-25,PRO,159445.266333,427260720
2020-05-25,RES,564272.78735,3077445808
2020-05-26,PRO,167970.606855,427274400
2020-05-26,RES,548331.802018,3077306164
2020-05-27,PRO,166607.454838,427271520
2020-05-27,RES,548599.575275,3077288528
2020-05-28,PRO,169193.36048,427286256
2020-05-28,RES,547717.79053,3077255704
2020-05-29,PRO,169168.783967,427284768
2020-05-29,RES,548033.691442,3077413344
2020-05-30,PRO,154228.466851,427223278
2020-05-30,RES,557208.922397,3076897694
2020-05-31,PRO,136564.70034,427190544
2020-05-31,RES,559423.841761,3076327824
2020-06-01,PRO,141956.735169,427179936
2020-06-01,RES,561093.380324,3076198170
2020-06-02,PRO,174018.733758,427201632
2020-06-02,RES,536260.442193,3076251484
2020-06-03,PRO,172745.306425,427224336
2020-06-03,RES,540500.777149,3076073824
2020-06-04,PRO,176100.246019,427215456
2020-06-04,RES,546421.437842,3075897184
2020-06-05,PRO,176516.131556,427237152
2020-06-05,RES,559092.392711,3076087872
2020-06-06,PRO,159558.886747,427191550
2020-06-06,RES,577488.435554,3075712390
2020-06-07,PRO,140630.887715,427172352
2020-06-07,RES,592332.489402,3075538454
2020-06-08,PRO,165659.05971,427209984
